ID,question,result,expected,corrupt
3,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
3,Yes/no question,Frase 2,Frase 2,FALSE
3,Counter-expectational,Frase 2,Frase 2,FALSE
3,Rhetorical question,Frase 1,Frase 1,FALSE
3,Surprise-disapproval question,Frase 2,Frase 2,FALSE
3,Declarative biased question,Frase 1,Frase 1,FALSE
3,Exclamative,Frase 1,Frase 1,FALSE
3,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
3,Subject wh-question,Frase 1,Frase 1,FALSE
4,Declarative,Frase 1,Frase 1,FALSE
4,Info-seeking wh-question,Frase 1,Frase 1,FALSE
4,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
4,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
4,Object wh question,Frase 2,Frase 2,FALSE
4,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
4,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
4,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
4,Yes/no question,Frase 2,Frase 2,FALSE
4,Counter-expectational,Frase 2,Frase 2,FALSE
4,Rhetorical question,Frase 1,Frase 1,FALSE
4,Surprise-disapproval question,Frase 2,Frase 2,FALSE
4,Declarative biased question,Frase 1,Frase 1,FALSE
4,Exclamative,Frase 1,Frase 1,FALSE
4,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
4,Subject wh-question,Frase 1,Frase 1,FALSE
5,Declarative,Frase 1,Frase 1,FALSE
5,Info-seeking wh-question,Frase 1,Frase 1,FALSE
5,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
5,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
5,Object wh question,Frase 2,Frase 2,FALSE
5,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
5,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
5,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
5,Yes/no question,Frase 2,Frase 2,FALSE
5,Counter-expectational,Frase 2,Frase 2,FALSE
5,Rhetorical question,Frase 1,Frase 1,FALSE
5,Surprise-disapproval question,Frase 2,Frase 2,FALSE
5,Declarative biased question,Frase 1,Frase 1,FALSE
5,Exclamative,Frase 1,Frase 1,FALSE
5,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
5,Subject wh-question,Frase 1,Frase 1,FALSE
6,Declarative,Frase 1,Frase 1,FALSE
6,Info-seeking wh-question,Frase 1,Frase 1,FALSE
6,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
6,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
6,Object wh question,Frase 2,Frase 2,FALSE
6,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
6,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
6,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
6,Yes/no question,Frase 2,Frase 2,FALSE
6,Counter-expectational,Frase 2,Frase 2,FALSE
6,Rhetorical question,Frase 1,Frase 1,FALSE
6,Surprise-disapproval question,Frase 2,Frase 2,FALSE
6,Declarative biased question,Frase 1,Frase 1,FALSE
6,Exclamative,Frase 1,Frase 1,FALSE
6,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
6,Subject wh-question,Frase 1,Frase 1,FALSE
7,Declarative,Frase 1,Frase 1,FALSE
7,Info-seeking wh-question,Frase 1,Frase 1,FALSE
7,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
7,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
7,Object wh question,Frase 2,Frase 2,FALSE
7,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
7,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
7,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
7,Yes/no question,Frase 2,Frase 2,FALSE
7,Counter-expectational,Frase 2,Frase 2,FALSE
7,Rhetorical question,Frase 1,Frase 1,FALSE
7,Surprise-disapproval question,Frase 2,Frase 2,FALSE
7,Declarative biased question,Frase 1,Frase 1,FALSE
7,Exclamative,Frase 1,Frase 1,FALSE
7,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
7,Subject wh-question,Frase 1,Frase 1,FALSE
8,Declarative,Frase 1,Frase 1,FALSE
8,Info-seeking wh-question,Frase 1,Frase 1,FALSE
8,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
8,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
8,Object wh question,Frase 2,Frase 2,FALSE
8,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
8,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
8,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
8,Yes/no question,Frase 2,Frase 2,FALSE
8,Counter-expectational,Frase 2,Frase 2,FALSE
8,Rhetorical question,Frase 1,Frase 1,FALSE
8,Surprise-disapproval question,Frase 2,Frase 2,FALSE
8,Declarative biased question,Frase 1,Frase 1,FALSE
8,Exclamative,Frase 1,Frase 1,FALSE
8,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
8,Subject wh-question,Frase 1,Frase 1,FALSE
9,Declarative,Frase 1,Frase 1,FALSE
9,Info-seeking wh-question,Frase 1,Frase 1,FALSE
9,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
9,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
9,Object wh question,Frase 1,Frase 2,FALSE
9,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
9,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
9,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
9,Yes/no question,Frase 2,Frase 2,FALSE
9,Counter-expectational,Frase 2,Frase 2,FALSE
9,Rhetorical question,Frase 1,Frase 1,FALSE
9,Surprise-disapproval question,Frase 2,Frase 2,FALSE
9,Declarative biased question,Frase 1,Frase 1,FALSE
9,Exclamative,Frase 1,Frase 1,FALSE
9,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
9,Subject wh-question,Frase 1,Frase 1,FALSE
10,Declarative,Frase 1,Frase 1,FALSE
10,Info-seeking wh-question,Frase 1,Frase 1,FALSE
10,Info-seeking non-wh question,Frase 1,Frase 2,FALSE
10,"Disapproval echo-question 
(wh-to-HLP)",Frase 2,Frase 1,FALSE
10,Object wh question,Frase 1,Frase 2,FALSE
10,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
10,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
10,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
10,Yes/no question,Frase 2,Frase 2,FALSE
10,Counter-expectational,Frase 2,Frase 2,FALSE
10,Rhetorical question,Frase 1,Frase 1,FALSE
10,Surprise-disapproval question,Frase 2,Frase 2,FALSE
10,Declarative biased question,Frase 1,Frase 1,FALSE
10,Exclamative,Frase 1,Frase 1,FALSE
10,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
10,Subject wh-question,Frase 1,Frase 1,FALSE
11,Declarative,Frase 1,Frase 1,FALSE
11,Info-seeking wh-question,Frase 1,Frase 1,FALSE
11,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
11,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
11,Object wh question,Frase 1,Frase 2,FALSE
11,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
11,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
11,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
11,Yes/no question,Frase 2,Frase 2,FALSE
11,Counter-expectational,Frase 2,Frase 2,FALSE
11,Rhetorical question,Frase 1,Frase 1,FALSE
11,Surprise-disapproval question,Frase 2,Frase 2,FALSE
11,Declarative biased question,Frase 1,Frase 1,FALSE
11,Exclamative,Frase 1,Frase 1,FALSE
11,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
11,Subject wh-question,Frase 1,Frase 1,FALSE
12,Declarative,Frase 1,Frase 1,FALSE
12,Info-seeking wh-question,Frase 1,Frase 1,FALSE
12,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
12,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
12,Object wh question,Frase 1,Frase 2,FALSE
12,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
12,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
12,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
12,Yes/no question,Frase 2,Frase 2,FALSE
12,Counter-expectational,Frase 2,Frase 2,FALSE
12,Rhetorical question,Frase 1,Frase 1,FALSE
12,Surprise-disapproval question,Frase 2,Frase 2,FALSE
12,Declarative biased question,Frase 1,Frase 1,FALSE
12,Exclamative,Frase 1,Frase 1,FALSE
12,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
12,Subject wh-question,Frase 1,Frase 1,FALSE
13,Declarative,Frase 1,Frase 1,FALSE
13,Info-seeking wh-question,Frase 1,Frase 1,FALSE
13,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
13,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
13,Object wh question,Frase 1,Frase 2,FALSE
13,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
13,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
13,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
13,Yes/no question,Frase 2,Frase 2,FALSE
13,Counter-expectational,Frase 2,Frase 2,FALSE
13,Rhetorical question,Frase 1,Frase 1,FALSE
13,Surprise-disapproval question,Frase 2,Frase 2,FALSE
13,Declarative biased question,Frase 1,Frase 1,FALSE
13,Exclamative,Frase 1,Frase 1,FALSE
13,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
13,Subject wh-question,Frase 1,Frase 1,FALSE
14,Declarative,Frase 1,Frase 1,FALSE
14,Info-seeking wh-question,Frase 1,Frase 1,FALSE
14,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
14,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
14,Object wh question,Frase 1,Frase 2,FALSE
14,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
14,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
14,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
14,Yes/no question,Frase 2,Frase 2,FALSE
14,Counter-expectational,Frase 2,Frase 2,FALSE
14,Rhetorical question,Frase 1,Frase 1,FALSE
14,Surprise-disapproval question,Frase 2,Frase 2,FALSE
14,Declarative biased question,Frase 1,Frase 1,FALSE
14,Exclamative,Frase 1,Frase 1,FALSE
14,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
14,Subject wh-question,Frase 1,Frase 1,FALSE
15,Declarative,Frase 1,Frase 1,FALSE
15,Info-seeking wh-question,Frase 1,Frase 1,FALSE
15,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
15,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
15,Object wh question,Frase 1,Frase 2,FALSE
15,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
15,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
15,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
15,Yes/no question,Frase 2,Frase 2,FALSE
15,Counter-expectational,Frase 2,Frase 2,FALSE
15,Rhetorical question,Frase 1,Frase 1,FALSE
15,Surprise-disapproval question,Frase 2,Frase 2,FALSE
15,Declarative biased question,Frase 1,Frase 1,FALSE
15,Exclamative,Frase 1,Frase 1,FALSE
15,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
15,Subject wh-question,Frase 1,Frase 1,FALSE
16,Declarative,Frase 1,Frase 1,FALSE
16,Info-seeking wh-question,Frase 1,Frase 1,FALSE
16,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
16,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
16,Object wh question,Frase 1,Frase 2,FALSE
16,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
16,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
16,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
16,Yes/no question,Frase 2,Frase 2,FALSE
16,Counter-expectational,Frase 2,Frase 2,FALSE
16,Rhetorical question,Frase 1,Frase 1,FALSE
16,Surprise-disapproval question,Frase 2,Frase 2,FALSE
16,Declarative biased question,Frase 1,Frase 1,FALSE
16,Exclamative,Frase 1,Frase 1,FALSE
16,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
16,Subject wh-question,Frase 1,Frase 1,FALSE
17,Declarative,Frase 1,Frase 1,FALSE
17,Info-seeking wh-question,Frase 1,Frase 1,FALSE
17,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
17,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
17,Object wh question,Frase 1,Frase 2,FALSE
17,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
17,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
17,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
17,Yes/no question,Frase 2,Frase 2,FALSE
17,Counter-expectational,Frase 2,Frase 2,FALSE
17,Rhetorical question,Frase 1,Frase 1,FALSE
17,Surprise-disapproval question,Frase 2,Frase 2,FALSE
17,Declarative biased question,Frase 1,Frase 1,FALSE
17,Exclamative,Frase 1,Frase 1,FALSE
17,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
17,Subject wh-question,Frase 1,Frase 1,FALSE
18,Declarative,Frase 1,Frase 1,FALSE
18,Info-seeking wh-question,Frase 1,Frase 1,FALSE
18,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
18,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
18,Object wh question,Frase 1,Frase 2,FALSE
18,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
18,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
18,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
18,Yes/no question,Frase 2,Frase 2,FALSE
18,Counter-expectational,Frase 2,Frase 2,FALSE
18,Rhetorical question,Frase 1,Frase 1,FALSE
18,Surprise-disapproval question,Frase 2,Frase 2,FALSE
18,Declarative biased question,Frase 1,Frase 1,FALSE
18,Exclamative,Frase 1,Frase 1,FALSE
18,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
18,Subject wh-question,Frase 1,Frase 1,FALSE
19,Declarative,Frase 1,Frase 1,FALSE
19,Info-seeking wh-question,Frase 1,Frase 1,FALSE
19,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
19,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
19,Object wh question,Frase 1,Frase 2,FALSE
19,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 1,Frase 2,FALSE
19,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
19,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
19,Yes/no question,Frase 2,Frase 2,FALSE
19,Counter-expectational,Frase 2,Frase 2,FALSE
19,Rhetorical question,Frase 1,Frase 1,FALSE
19,Surprise-disapproval question,Frase 2,Frase 2,FALSE
19,Declarative biased question,Frase 1,Frase 1,FALSE
19,Exclamative,Frase 1,Frase 1,FALSE
19,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
19,Subject wh-question,Frase 1,Frase 1,FALSE
20,Declarative,Frase 1,Frase 1,FALSE
20,Info-seeking wh-question,Frase 1,Frase 1,FALSE
20,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
20,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
20,Object wh question,Frase 1,Frase 2,FALSE
20,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
20,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
20,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
20,Yes/no question,Frase 2,Frase 2,FALSE
20,Counter-expectational,Frase 2,Frase 2,FALSE
20,Rhetorical question,Frase 1,Frase 1,FALSE
20,Surprise-disapproval question,Frase 2,Frase 2,FALSE
20,Declarative biased question,Frase 1,Frase 1,FALSE
20,Exclamative,Frase 1,Frase 1,FALSE
20,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
20,Subject wh-question,Frase 1,Frase 1,FALSE
21,Declarative,Frase 1,Frase 1,FALSE
21,Info-seeking wh-question,Frase 1,Frase 1,FALSE
21,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
21,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
21,Object wh question,Frase 1,Frase 2,FALSE
21,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
21,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
21,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
21,Yes/no question,Frase 2,Frase 2,FALSE
21,Counter-expectational,Frase 2,Frase 2,FALSE
21,Rhetorical question,Frase 1,Frase 1,FALSE
21,Surprise-disapproval question,Frase 2,Frase 2,FALSE
21,Declarative biased question,Frase 1,Frase 1,FALSE
21,Exclamative,Frase 1,Frase 1,FALSE
21,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
21,Subject wh-question,Frase 1,Frase 1,FALSE
22,Declarative,Frase 1,Frase 1,FALSE
22,Info-seeking wh-question,Frase 1,Frase 1,FALSE
22,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
22,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
22,Object wh question,Frase 1,Frase 2,FALSE
22,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
22,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
22,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
22,Yes/no question,Frase 2,Frase 2,FALSE
22,Counter-expectational,Frase 2,Frase 2,FALSE
22,Rhetorical question,Frase 1,Frase 1,FALSE
22,Surprise-disapproval question,Frase 2,Frase 2,FALSE
22,Declarative biased question,Frase 1,Frase 1,FALSE
22,Exclamative,Frase 1,Frase 1,FALSE
22,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
22,Subject wh-question,Frase 1,Frase 1,FALSE
23,Declarative,Frase 1,Frase 1,FALSE
23,Info-seeking wh-question,Frase 1,Frase 1,FALSE
23,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
23,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
23,Object wh question,Frase 1,Frase 2,FALSE
23,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
23,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
23,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
23,Yes/no question,Frase 2,Frase 2,FALSE
23,Counter-expectational,Frase 2,Frase 2,FALSE
23,Rhetorical question,Frase 1,Frase 1,FALSE
23,Surprise-disapproval question,Frase 2,Frase 2,FALSE
23,Declarative biased question,Frase 1,Frase 1,FALSE
23,Exclamative,Frase 1,Frase 1,FALSE
23,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
23,Subject wh-question,Frase 1,Frase 1,FALSE
24,Declarative,Frase 1,Frase 1,FALSE
24,Info-seeking wh-question,Frase 1,Frase 1,FALSE
24,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
24,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
24,Object wh question,Frase 1,Frase 2,FALSE
24,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
24,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
24,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
24,Yes/no question,Frase 2,Frase 2,FALSE
24,Counter-expectational,Frase 2,Frase 2,FALSE
24,Rhetorical question,Frase 1,Frase 1,FALSE
24,Surprise-disapproval question,Frase 2,Frase 2,FALSE
24,Declarative biased question,Frase 1,Frase 1,FALSE
24,Exclamative,Frase 1,Frase 1,FALSE
24,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
24,Subject wh-question,Frase 1,Frase 1,FALSE
25,Declarative,Frase 1,Frase 1,FALSE
25,Info-seeking wh-question,Frase 1,Frase 1,FALSE
25,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
25,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
25,Object wh question,Frase 1,Frase 2,FALSE
25,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
25,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
25,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
25,Yes/no question,Frase 2,Frase 2,FALSE
25,Counter-expectational,Frase 2,Frase 2,FALSE
25,Rhetorical question,Frase 1,Frase 1,FALSE
25,Surprise-disapproval question,Frase 2,Frase 2,FALSE
25,Declarative biased question,Frase 1,Frase 1,FALSE
25,Exclamative,Frase 1,Frase 1,FALSE
25,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
25,Subject wh-question,Frase 1,Frase 1,FALSE
26,Declarative,Frase 1,Frase 1,FALSE
26,Info-seeking wh-question,Frase 1,Frase 1,FALSE
26,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
26,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
26,Object wh question,Frase 1,Frase 2,FALSE
26,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
26,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
26,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
26,Yes/no question,Frase 2,Frase 2,FALSE
26,Counter-expectational,Frase 2,Frase 2,FALSE
26,Rhetorical question,Frase 1,Frase 1,FALSE
26,Surprise-disapproval question,Frase 2,Frase 2,FALSE
26,Declarative biased question,Frase 1,Frase 1,FALSE
26,Exclamative,Frase 1,Frase 1,FALSE
26,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
26,Subject wh-question,Frase 1,Frase 1,FALSE
27,Declarative,Frase 1,Frase 1,FALSE
27,Info-seeking wh-question,Frase 1,Frase 1,FALSE
27,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
27,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
27,Object wh question,Frase 1,Frase 2,FALSE
27,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
27,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
27,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
27,Yes/no question,Frase 2,Frase 2,FALSE
27,Counter-expectational,Frase 2,Frase 2,FALSE
27,Rhetorical question,Frase 1,Frase 1,FALSE
27,Surprise-disapproval question,Frase 2,Frase 2,FALSE
27,Declarative biased question,Frase 1,Frase 1,FALSE
27,Exclamative,Frase 1,Frase 1,FALSE
27,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
27,Subject wh-question,Frase 1,Frase 1,FALSE
28,Declarative,Frase 1,Frase 1,FALSE
28,Info-seeking wh-question,Frase 1,Frase 1,FALSE
28,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
28,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
28,Object wh question,Frase 2,Frase 2,FALSE
28,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
28,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
